col_index	col_type	col_name
1	numeric	juokseva
2	text	Kunnannimi
3	text	Kantakaupunkitaiesikaupunki
4	text	IkaryhmaPOSTITUS
5	text	AidinkieliPOSTITUS
6	text	supu
7	text	username
8	text	haastattelija
9	numeric	tutkimuspaiva
10	text	SMS_muistutus
11	text	onko_valmis
12	text	valmistumispvm
13	text	vastauskieli
14	numeric	firstLoginAfterJourneyDate
15	numeric	queryAnswerTime
16	text	laite
17	numeric	montako_matkaa
18	numeric	kokonaiskesto
19	numeric	keskimaarainen_kesto
20	text	aikuinen_lapsi
21	text	sukupuoli
22	text	sukup_laaj
23	numeric	ika
24	numeric	kotitalous_0_6v
25	numeric	kotitalous_7_17v
26	numeric	kotitalous_yli_18v
27	numeric	kotitalous_kaikki
28	text	tutkinto
29	text	toimi
30	text	kielikoodi
31	text	kieli
32	text	asumismuoto
33	text	kotiosoite
34	text	kotikunta
35	text	kotikoordinaatit
36	text	polkupyora
37	text	polkupyoraily
38	text	lippu_hsl_arvo
39	text	lippu_mobiililippu
40	text	lippu_muu_kausi
41	text	lippu_muu_arvo
42	text	miten_usein_joukkoliikenne
43	text	miten_usein_auto
44	text	miten_usein_auto_kaytettavissa
45	numeric	onko_ajokortti
46	numeric	montako_autoa
47	text	miten_usein_karttapalvelut
48	text	miten_usein_matkalippuja_netista
49	text	miten_usein_kyyti_netista
50	text	miten_usein_tavaraa_netista
51	text	miten_usein_vuokra_auto
52	text	miten_usein_lainannut_autoa
53	numeric	matkaid
54	text	LP
55	date	LPdttm
56	text	LP_OSO
57	text	LP_POSTI
58	text	LP_KOORD
59	text	MP
60	date	MPdttm
61	text	MP_OSO
62	text	MP_POSTI
63	text	MP_KOORD
64	text	AIKA
65	numeric	KESTO
66	numeric	PITUUS
67	text	KULKUTAVAT
68	numeric	HAKUORM
69	numeric	PYSLIIT
70	numeric	PYSMAKS
71	text	PKTAPA
72	text	PKTAPA2
73	numeric	SUJUVUUS
74	numeric	YKSI
75	text	netti
76	text	kunta3
77	text	asuinalue
78	text	vluokka
79	text	vluokka2
80	numeric	matkaorder
81	date	dt1
82	date	tm1
83	date	dt2
84	date	tm2
85	date	LPdttm_
86	date	MPdttm_
87	numeric	matkaaika
88	text	pktapa_
89	text	aputeksti
90	text	kulkutapa_a1
91	text	kulkutapa_a2
92	text	kulkutapa_a3
93	text	kulkutapa_a4
94	text	kulkutapa_a5
95	text	kulkutapa_a6
96	text	kulkutapa_a7
97	text	kulkutapa_a8
98	text	kulkutapa_a9
99	text	kulkutapa_a10
100	text	kulkutapa1
101	text	kulkutapa2
102	text	kulkutapa3
103	text	kulkutapa4
104	text	kulkutapa5
105	text	kulkutapa6
106	text	kulkutapa7
107	text	kulkutapa8
108	text	kulkutapa9
109	text	kulkutapa10
110	text	kulkutapa_k1
111	text	kulkutapa_k2
112	text	kulkutapa_k3
113	text	kulkutapa_k4
114	text	kulkutapa_k5
115	text	kulkutapa_k6
116	text	kulkutapa_k7
117	text	kulkutapa_k8
118	text	kulkutapa_k9
119	text	kulkutapa_k10
120	text	kulkutapa_apu
121	numeric	kt_auto
122	numeric	pkt_auto
123	numeric	kt_julkinen
124	numeric	pkt_julkinen
125	numeric	kt_kuljettaja
126	numeric	pkt_kuljettaja
127	text	motor
128	text	pkt_motor
129	numeric	lp_old
130	numeric	mp_old
131	text	pktapa2_
132	numeric	pktkorj
133	numeric	Obs
134	text	ap_osoite
135	text	ap_kunta
136	text	ap_x
137	text	ap_y
138	numeric	matkaord
139	text	Paakulkutapa
140	text	lp_osoite
141	text	lp_kunta
142	text	lp_x
143	text	lp_y
144	text	mp_osoite
145	text	mp_kunta
146	text	mp_x
147	text	mp_y
148	numeric	ap_kela
149	numeric	ap_sij19
150	numeric	ap_sij16
151	text	ap_posti
152	text	ap_vyohy
153	numeric	lp_kela
154	numeric	lp_sij19
155	numeric	lp_sij16
156	text	lp_vyohy
157	numeric	mp_kela
158	numeric	mp_sij19
159	numeric	mp_sij16
160	text	mp_vyohy
161	numeric	pituus_linnuntie
162	numeric	pituus_route
163	text	asuinalue2
164	numeric	vaesto
165	numeric	haastateltuja
166	numeric	kerroin
167	numeric	poispois
168	numeric	paino6
169	text	lpkunc
170	text	mpkunc
171	text	apkunc
172	text	lpalu
173	text	mpalu
174	text	apalu
175	text	pkt
176	text	ajako
